Tags,Name,Formula,T1C1,T1C2,T1C3,T1C4,T1C5,T1C6,T1C7,T1C8,T1WB1,T1WB2,T1WB3,T1WB4,T1WB5,T1WB6,T1WB7,T1WB8,T2C1,T2C2,T2C3,T2C4,T2C5,T2C6,T2C7,T2C8,T2WB1,T2WB2,T2WB3,T2WB4,T2WB5,T2WB6,T2WB7,T2WB8,T3C1,T3C2,T3C3,T3C4,T3C5,T3C6,T3C7,T3C8,T3WB1,T3WB2,T3WB3,T3WB4,T3WB5,T3WB6,T3WB7,T3WB8,T4C1,T4C2,T4C3,T4C4,T4C5,T4C6,T4C7,T4C8,T4WB1,T4WB2,T4WB3,T4WB4,T4WB5,T4WB6,T4WB7,T4WB8
A,"1,5-Anhydro-D-sorbitol",C6 H12 O5,108336452.60056701,125111118.0779715,133874535.92463821,134963508.2646353,145734503.15304843,138244136.53448,125340343.6733866,239050733.40079555,144166113.4184986,145737548.20822766,154934983.77995554,108126657.30964623,117850840.25154817,168546355.5149882,143472706.80024526,253792436.80304995,83056246.66945213,94042872.88364252,134384039.54800168,114600468.82115355,118784788.81016971,120267824.49595639,126426075.01234433,97811461.37511824,68216520.80528705,90712359.8004717,103079273.77014339,79263750.58570018,77373844.5491517,85388975.37400554,106000595.97304386,119445272.15331192,90359813.28290594,122071022.37731515,101371708.12740092,123952328.1483879,81148466.34008926,118227792.21231078,98401035.77042957,114990695.34921163,83000216.7528573,100835807.6490967,89703588.28085034,80677922.59502918,83064830.20165467,111082543.20762004,112787627.78117806,106120177.33793437,82761538.7432361,65705647.77725997,86497637.73018737,92831505.43410972,68474936.79355772,92013211.72704747,68610465.70688608,90039495.28399867,72499163.94732937,100816599.92837404,95464620.24808994,74107626.96661544,44301443.87563562,68515299.18204188,70863914.83244602,91518496.15052517
D,"1,6-Anhydro-beta-D-glucose",C6 H10 O5,150160019.73580483,178444641.3410682,155707377.2875887,72232310.37176462,171333885.0625771,68888803.18070665,164931461.99035022,91429761.93766181,179620747.30041733,79828260.29794134,81682857.3629965,144521909.2319229,193457525.9349896,143764462.6453592,88274185.29832695,86224571.82372634,142639040.543295,148711767.20667842,169060554.38802367,179280063.5847639,60617244.366407275,68375699.21948424,75943488.12093416,55759316.07799064,111699346.68537845,145647661.8161398,61152759.54521916,159518830.78884974,110696573.217857,104661148.56372228,62251463.51073521,155864032.46618617,140292739.54219326,154202301.81632978,160749653.27576894,168735915.1509339,176961729.24470297,197332586.52555558,165528197.0846675,165312094.25584957,119280365.26198874,151507613.2100818,169392594.4028942,155420994.89611322,157215004.41146937,155291066.4980765,160767489.7121155,162702278.89029962,149808454.91756114,185243145.83162093,161412691.06172392,167654590.75368038,148801150.97541878,171608924.43556675,165081335.2591376,192883543.87482697,168511525.54017144,189804530.48958236,161051411.20299888,181720278.39403936,151584586.92352334,149480621.48176906,128262523.1177828,159122469.4418614
B,10-HYDROXYDECANOATE,C10 H20 O3,6292403.650762354,6447889.712972589,8698928.746158889,6854429.1775153885,10430844.452778239,6885211.190264966,8113573.809635102,9857483.894951152,8833511.559611367,5033886.6866705865,8373805.9668326955,9832634.685979469,7439146.975673397,8013791.388278475,6272387.944415608,12624114.467986949,6337811.855779377,9512317.44806552,5469349.306094905,6214312.991697751,10002465.863702051,8723315.536096182,8888084.250017514,5036164.780267084,7034911.543301442,9376589.970586298,6873965.584222633,5007540.894829929,4827920.34889497,4455367.174975901,7516778.965318603,7147389.485232434,7468910.570228856,12870448.167034192,7116931.520472775,7038503.624529631,8487518.45774915,8806543.308742724,8814538.915173428,7721674.307193168,9559044.272676338,7886881.195187742,8239213.48315448,7135256.007585184,9629557.081799963,8019320.818851187,7358796.231468151,7403028.17654589,9334184.242518453,11344455.094404941,8049602.706394396,10065362.736578116,13060477.536348276,12766013.860508252,10026638.261835856,8285790.140820318,6273334.030739786,9178436.651814504,11571903.881207284,8317143.707285908,6875108.281184986,14585863.053819947,5260633.82696167,13325649.691579608
A,1-Kestose,C18 H32 O16,7992693.410879703,9065125.127236107,9535015.454102024,8453209.705842175,10940722.176201621,6988076.762787659,25436036.94140896,9429787.125686243,9922076.487147823,7074067.542513873,12117714.905418444,7031310.180480768,7227278.368549252,7713319.179618223,9997016.157875724,11915535.452449845,6031607.791441145,3260144.7399706007,8109781.444990263,3452694.916392916,3145034.7588045658,8503063.942324322,6723884.544366814,3870155.8801822443,1707655.6000182626,2718058.5496653863,4077286.957217847,5347637.217705344,4142705.75406074,2552258.548036148,6767488.96258911,5979606.175515536,882752.0644311387,1730690.6364825037,2501706.8807369475,1708981.250025162,887922.7535010835,3565013.251848714,2029461.9962602395,2383647.1228514477,973155.3680655942,2741554.8963098912,2272828.6405405737,2584570.627459216,2445861.1050764406,2347064.1776135885,2005112.0503187464,1634173.3167146188,942821.1109398262,1110764.679456963,1340860.324149681,2956666.5183368376,1036835.7787038656,2077153.230970302,943805.4406288196,1035672.5962471757,1451266.3274980506,2243801.098107471,1382302.3982205733,2249577.294624973,768957.0928054248,1218858.0269822564,843431.7804151077,1231231.8242264257
D,"1-Phenyl-1,2-propanedione",C9 H8 O2,5585071.924318622,9806985.233485445,8037479.5849673245,6872499.852051249,6735554.852869984,8180076.42500591,7737734.474275182,13602561.175410973,8406812.891798204,6668844.678764523,14217045.779088033,2298079.0232878565,12334834.538884383,11750342.980997406,7959622.062626968,10109929.859682363,11614459.6889311,3300505.103587281,4008902.809187553,4014650.706274687,4986453.242143778,9403509.0112419,11584355.677107636,3402803.088475291,3312414.4058321337,4211679.9860434625,6979102.982251536,6434855.003345282,3139137.71609736,2847803.891605588,4568071.417701613,3358962.857212366,967798.7265047826,4249309.946752619,916677.037391371,2454547.107091715,2379086.1853998713,1307789.3846397032,1741732.1935345153,1998989.4441253962,5521694.03456846,1567861.1830968924,769082.4910633784,705215.6924404161,1370897.1862046786,1892466.099048521,2584828.536595378,923824.4790959356,1676501.2427811392,8732333.80344006,8236103.753166336,1103777.9455371872,9489609.010957856,1235644.513226779,12504646.702985939,4273240.730917222,6982741.420433033,3034466.843585245,7046128.852690368,670304.5281021543,5429461.58690934,3123547.3493298492,4648566.301131227,4076419.287006583
A,2-(Hydroxymethyl)butanoic acid,C5 H10 O3,91712790.15472822,138256921.32084122,176492725.56577486,88504408.03410856,232515504.86714193,178434472.446001,114462434.79914989,188017627.2558682,199634399.59553805,181793072.39204824,228676346.86909762,117874507.96023332,114120146.1809355,122870630.1520749,111201182.585177,260241061.86031747,154205738.19230726,145740288.6221939,147758858.45558932,113880432.38403451,159290376.98420686,160756161.7585821,187358608.1899787,137870805.81878835,116590218.67242716,128658463.36028565,97238832.0375236,123888096.07018065,77568749.7989446,104878896.30623075,150261463.6376315,112234238.02169096,82686141.59514026,117446451.02121487,96306060.11422452,84329482.18237725,110542689.63164003,116667751.33056544,65704503.52316193,83981759.89974435,164870620.2461466,78745379.16226003,100000487.86117658,90732397.19782923,110463613.72527213,77880296.16917066,118909645.65766633,80373662.73399182,67834558.30781002,111156028.59890321,70392718.7544118,99731382.74800885,69004629.44541714,54535691.52651664,83475162.76731762,104905078.8010088,93256453.86083187,117399281.38609125,63050402.75780566,52423523.57036787,65933426.7810027,60058773.18354149,37063207.15383688,105618752.51318564
D,"2,3-DIHYDROXYBENZOATE",C7 H6 O4,1471131.2349533297,750353.3744884356,2363685.428513693,3514889.283179736,3182424.5249579777,3366120.7724392023,3528901.3882430727,2897960.8916522334,3403015.3235722156,3377564.6956105256,4086580.685840142,3190841.8737719376,3185313.53052696,4098574.0437340518,3760906.714248081,5877147.220433707,1880645.2439271645,5066482.930430076,3934739.680125058,3603202.1264153384,3894528.3436621083,3265092.9534279522,3858959.9263266763,3530683.6774470224,3199708.5195705784,2888982.0841839933,3490696.3928898973,1810919.0069681406,2192631.80857823,1330027.5650398,3688367.12953529,3404607.942721682,3054924.869196385,5010408.001324212,4597924.249115388,3522347.5883507486,4454309.796220625,291828.85642899753,3823974.3965421226,2939245.53654255,3937828.2133541806,3919322.5799238547,3121353.445711489,5313251.40255875,4223008.727557769,4628109.758302168,4651837.437452024,4501337.724056348,4571419.466133677,4575567.9259528015,3249783.8710494163,4187752.74726789,4935418.895875877,4020541.758549464,3864706.810604996,5944405.9410565235,4158204.6296556,3205835.37795498,3440400.9743333627,4260092.150762314,2817626.974749868,3141425.173177954,2659898.288005783,3968587.3975141826
A,"2,3-Dihydroxyisovalerate",C5 H10 O4,15432340.33668234,17926767.01083225,27236139.002287704,24878326.28894078,22553990.65152066,19400750.25460464,14787361.212565143,32223685.798099212,22443933.586416464,33322624.679184657,30447082.520901147,16239986.134166794,18538486.22765401,14657223.053559648,25123118.173228752,67548949.39289744,15030497.620998355,17057871.43156243,22508690.552441154,19050812.416884866,14625280.912672477,18156239.04634517,17236821.113593124,11474356.272771696,11449872.382570159,19773861.724145964,19516523.22494722,15365162.747591764,10470860.5190515,10370929.408069449,18417143.69785574,19078694.071368057,307204216.4700657,335522798.6702618,340914931.22979915,327964515.7078854,334703193.1759806,477757457.38948923,342009119.3546043,184382966.0258513,83101090.48252106,200376304.07500017,372212576.6313057,366645857.33092964,188823442.83996126,330883982.77356035,235270411.41199338,294853321.6087839,264450290.72228009,226105523.4629508,320809555.208457,282985218.4802932,169051604.3285546,311717246.90082526,211799917.99761808,234351301.97989216,240255246.56188905,275546064.2065093,315175219.50651103,266328833.49818823,187548514.88128337,231206536.93141848,205566636.85665756,195273658.5069194
A,"2,4-Dihydroxybutyric acid",C4 H8 O4,1071340808.9503385,1327339074.3534114,1214537332.9732633,902358743.8626554,1173008288.7242362,998826729.9224484,850785605.9519242,1492819424.6417315,1126701637.2009916,1364561917.5393562,1082209661.3247845,1031822126.1648961,762316707.391638,812039257.7873315,981618461.1284028,1543079110.469891,769976498.9182183,976853778.1290306,1040748343.8245277,723944189.9897202,874639347.0004655,806601907.4131079,732896676.2963055,461142835.5812852,536246302.71825594,1067244743.7055625,716399171.4392958,697747218.2477063,354559355.22779,510999526.21212214,714792934.8003037,643834664.8666224,356880552.21205056,485205129.17004687,512980999.6677972,311141449.9226841,459673848.0758429,516446657.517311,389530238.50582486,500961247.3636474,267894255.13996986,713602215.4523033,477607445.27942425,589935332.8205154,334973686.649055,377144487.064598,652211043.8001844,448744667.26074684,306300198.53898215,321536124.9737418,365506101.86080706,384774301.19810605,167427863.66038185,390618371.3175384,218935728.2297777,224863660.1799281,328642754.8207515,534531331.72120833,492946225.0251612,473371994.21710634,191188331.0943277,394394808.14810914,402684362.9733612,353444188.87761575
B,"2,5-DIHYDROXYBENZOATE",C7 H6 O4,3259382.7796024415,2190600.8650064487,693004.5994573649,344089.66105712485,3441371.787199269,431201.1680093528,2253469.664161195,1242845.248281739,461246.7902628287,618197.4181106687,577087.9704323729,354614.64857765555,574812.8500537085,2026604.6284386232,4228641.599725151,7509854.595462672,4503498.268414414,813345.7012458645,2419036.9642632036,370901.1005125809,1679430.9138896074,4266286.943679679,6253283.919837231,340482.83331089484,2182946.928011202,1563164.3698270465,858216.5407563894,3298371.130954676,1062493.35178628,2690344.8250685767,6227469.697697323,5324468.456123949,317942.27340469684,4955615.968193918,371684.73720543407,421811.9835460904,3536752.5596171957,1819490.7389643984,480516.42928167706,4517970.976929139,6032663.452202405,3560544.890262107,2799539.4672100893,2230885.3898268132,3309108.7450700365,1957692.2613217977,4824322.910347329,3410574.0582632646,380118.7465162621,2034380.6727090199,2460437.648628941,353638.98292598315,1816748.7390458013,1391379.554570821,1086123.5521462932,495722.335115686,2527556.3938133325,1221839.36569251,2158411.721876025,1178896.5282454803,2018793.3940703464,1693695.8412478657,809252.4927286546,2414879.9748870768
