Feature,Original P-value,Corrected P-value,Significant
Leu-Ala,0.0,0.0,Yes
Leu-Gly,0.0,0.0,Yes
ADENOSINE,0.0001554001554001554,0.012121212121212121,Yes
Pseudouridine,0.0004662004662004662,0.02727272727272727,Yes
ADENINE,0.0010878010878010878,0.04242424242424243,Yes
ASPARTATE,0.0010878010878010878,0.04242424242424243,Yes
CYSTATHIONINE,0.005128205128205128,0.12363636363636363,No
GLUTAMATE,0.005283605283605284,0.12363636363636363,No
L-Methionine sulfoxide,0.003885003885003885,0.12363636363636363,No
TREHALOSE,0.004662004662004662,0.12363636363636363,No
ALLANTOIN,0.006060606060606061,0.1272727272727273,No
ASPARAGINE,0.006526806526806527,0.1272727272727273,No
N-Acetyl-L-methionine,0.008857808857808859,0.15944055944055946,No
PROLINE,0.011965811965811967,0.18909090909090912,No
SERINE,0.012121212121212121,0.18909090909090912,No
D-MANNOSAMINE,0.014296814296814297,0.19679144385026737,No
GLYCEROL,0.013986013986013986,0.19679144385026737,No
Homocitrulline,0.016317016317016316,0.2121212121212121,No
4-Hydroxyphenylacetic acid,0.02035742035742036,0.23715415019762848,No
DIACETYL,0.019580419580419582,0.23715415019762848,No
PYROGLUTAMATE,0.022843822843822845,0.23715415019762848,No
Saccharopine,0.023310023310023312,0.23715415019762848,No
SUCCINATE,0.023310023310023312,0.23715415019762848,No
Citraconic acid,0.026262626262626262,0.24581818181818182,No
ORNITHINE,0.026107226107226107,0.24581818181818182,No
5-HYDROXYLYSINE,0.03512043512043512,0.2568181818181818,No
cis-Aconitic acid,0.03434343434343434,0.2568181818181818,No
GLYCINE,0.03278943278943279,0.2568181818181818,No
Isomaltose,0.028749028749028748,0.2568181818181818,No
Mannitol,0.03465423465423465,0.2568181818181818,No
Sorbose,0.03325563325563326,0.2568181818181818,No
Ureidosuccinic acid,0.03341103341103341,0.2568181818181818,No
ACETOACETATE,0.037606837606837605,0.2609625668449198,No
SEROTONIN,0.03791763791763792,0.2609625668449198,No
DEOXYCYTIDINE,0.04087024087024087,0.27324675324675324,No
GUANOSINE,0.04226884226884227,0.27474747474747474,No
Myo-Inositol,0.04351204351204351,0.2751842751842752,No
CREATINE,0.04895104895104895,0.2909090909090909,No
Leucine,0.04972804972804973,0.2909090909090909,No
"Saccharic acid 1,4-lactone",0.048795648795648794,0.2909090909090909,No
Pro-Gly,0.053923853923853925,0.3077605321507761,No
Gluconate,0.05672105672105672,0.31374207188160674,No
NORLEUCINE,0.057653457653457654,0.31374207188160674,No
Dehydroascorbic acid,0.06169386169386169,0.328099173553719,No
Ac-Val-OH,0.0658896658896659,0.3391304347826087,No
Gamma-Glu-epsilon-Lys,0.06666666666666667,0.3391304347826087,No
N-Acetyl-L-tyrosine,0.07459207459207459,0.37137330754352027,No
Nalpha-Acetyl-L-ornithine,0.0773892773892774,0.3772727272727273,No
TRANS-4-HYDROXY-L-PROLINE,0.08174048174048174,0.3903525046382189,No
GLUTAMINE,0.08376068376068375,0.392,No
PHENYLALANINE,0.09168609168609168,0.4206773618538324,No
RHAMNOSE,0.09681429681429682,0.4356643356643357,No
CITRATE,0.09914529914529914,0.43773584905660373,No
3-Methyl-2-oxobutyrate,0.10147630147630148,0.4397306397306397,No
CARNOSINE,0.10396270396270396,0.44231404958677684,No
"2,3-Dihydroxyisovalerate",0.11903651903651903,0.44504748982360925,No
2-Isopropylmalic acid,0.11981351981351981,0.44504748982360925,No
2-OXOADIPATE,0.12571872571872572,0.44504748982360925,No
3-Hydroxy-2-methyl-4-pyrone,0.12432012432012432,0.44504748982360925,No
Fructose,0.11064491064491065,0.44504748982360925,No
GLYCERATE,0.11903651903651903,0.44504748982360925,No
Gulonic acid gamma-lactone,0.11996891996891997,0.44504748982360925,No
N-Acetyl-L-proline,0.12727272727272726,0.44504748982360925,No
Pyrogallol,0.11266511266511267,0.44504748982360925,No
RAFFINOSE,0.12742812742812742,0.44504748982360925,No
Sucrose,0.10846930846930847,0.44504748982360925,No
TYROSINE,0.12540792540792542,0.44504748982360925,No
INDOXYL SULFATE,0.13146853146853146,0.4524064171122994,No
CITRULLINE,0.13644133644133644,0.45275288092189503,No
TRYPTOPHAN,0.1365967365967366,0.45275288092189503,No
XANTHOSINE,0.13737373737373737,0.45275288092189503,No
BETAINE,0.14933954933954935,0.48219178082191777,No
Levulinic acid,0.15042735042735042,0.48219178082191777,No
HISTIDINE,0.16394716394716394,0.5095693779904306,No
p-Coumaric acid,0.16223776223776223,0.5095693779904306,No
TRANS-ACONITATE,0.1655011655011655,0.5095693779904306,No
Arginine,0.16783216783216784,0.5100354191263282,No
ITACONATE,0.17482517482517482,0.5244755244755245,No
O-ACETYLSERINE,0.18585858585858586,0.550517836593786,No
ERYTHRITOL,0.1933177933177933,0.5636363636363637,No
OROTATE,0.19704739704739704,0.5636363636363637,No
Phosphoric acid,0.1975135975135975,0.5636363636363637,No
Xylose,0.20170940170940171,0.5686746987951807,No
6-Oxo-2-piperidinecarboxylic acid,0.2087024087024087,0.5745454545454546,No
Ethylsulfuric acid,0.2066822066822067,0.5745454545454546,No
Choline glycerophosphate,0.21585081585081586,0.5873150105708245,No
"1,5-Anhydro-D-sorbitol",0.23108003108003108,0.5942057942057942,No
2-Hydroxyoctanoic acid,0.23030303030303031,0.5942057942057942,No
AMINOISOBUTANOATE,0.22268842268842268,0.5942057942057942,No
GLUTARATE,0.22905982905982905,0.5942057942057942,No
N-ACETYLALANINE,0.23108003108003108,0.5942057942057942,No
2-Methoxybenzoic acid,0.2372960372960373,0.5954545454545455,No
3-Methyl-L-histidine,0.24133644133644133,0.5954545454545455,No
5-Methyluridine,0.23745143745143746,0.5954545454545455,No
Sinapic acid,0.2442890442890443,0.5954545454545455,No
STACHYOSE,0.2442890442890443,0.5954545454545455,No
3-HYDROXYBENZOATE,0.25081585081585084,0.6050609184629804,No
Mannose,0.2539238539238539,0.6063079777365491,No
N-ACETYLGLUTAMATE,0.262004662004662,0.6091809180918091,No
OXALATE,0.2585858585858586,0.6091809180918091,No
Pyruvic acid,0.2629370629370629,0.6091809180918091,No
Cystine,0.27226107226107227,0.6245989304812835,No
2-Methyl-4-pentenoic acid,0.2873348873348873,0.6465034965034965,No
Trans-3-Indoleacrylic acid,0.28655788655788655,0.6465034965034965,No
ALLOTHREONINE,0.2975912975912976,0.6632034632034632,No
"2,4-Dihydroxybutyric acid",0.31484071484071485,0.668025078369906,No
"3,5-Dihydroxybenzoic acid",0.31888111888111886,0.668025078369906,No
Alanine,0.3123543123543124,0.668025078369906,No
Dehydroacetic acid,0.314996114996115,0.668025078369906,No
D-Sedoheptulose,0.3048951048951049,0.668025078369906,No
GLUCOSE 6-PHOSPHATE,0.32742812742812744,0.668025078369906,No
Lysine,0.3299145299145299,0.668025078369906,No
N-Acetyl-beta-D-mannosamine,0.32727272727272727,0.668025078369906,No
PANTOTHENATE,0.30815850815850815,0.668025078369906,No
QUINATE,0.3278943278943279,0.668025078369906,No
SACCHARATE,0.33115773115773117,0.668025078369906,No
Diethyl malonate,0.3532245532245532,0.6825633383010431,No
Dihydroxyacetone,0.342968142968143,0.6825633383010431,No
Isovaleraldehyde,0.34716394716394716,0.6825633383010431,No
N-ALPHA-ACETYLLYSINE,0.35167055167055167,0.6825633383010431,No
N-FORMYL-L-METHIONINE,0.3532245532245532,0.6825633383010431,No
TAURINE,0.35586635586635584,0.6825633383010431,No
N-Acetyl-L-tryptophan,0.39595959595959596,0.7412363636363637,No
Tartrate,0.395027195027195,0.7412363636363637,No
URACIL,0.3916083916083916,0.7412363636363637,No
GALACTARATE,0.40435120435120436,0.750937950937951,No
3-NITRO-L-TYROSINE,0.4087024087024087,0.753042233357194,No
HOMOCYSTINE,0.4121212121212121,0.7534090909090908,No
CREATININE,0.42315462315462316,0.767582804792107,No
DEOXYURIDINE,0.4278166278166278,0.7700699300699301,No
Gamma-L-Glutamyl-L-alanine,0.4404040404040404,0.786675919500347,No
Anserine,0.44864024864024865,0.7953168044077136,No
"2,3-DIHYDROXYBENZOATE",0.4750582750582751,0.803612281757977,No
3-(4-HYDROXY-3-METHOXY-PHENYL)-PROPIONIC ACID,0.473970473970474,0.803612281757977,No
4-ACETAMIDOBUTANOATE,0.48951048951048953,0.803612281757977,No
4-Hydroxycyclohexanecarboxylic acid,0.49696969696969695,0.803612281757977,No
5-Keto-D-gluconic acid,0.5168609168609168,0.803612281757977,No
alpha-Santonin,0.4979020979020979,0.803612281757977,No
Arabitol,0.47863247863247865,0.803612281757977,No
Gly-Gly,0.505982905982906,0.803612281757977,No
Indole-3-lactic acid,0.5117327117327117,0.803612281757977,No
MALEATE,0.45827505827505827,0.803612281757977,No
mono-Methyl glutarate,0.4804972804972805,0.803612281757977,No
N-Acetyl-L-glutamine,0.46076146076146074,0.803612281757977,No
N-ACETYLPHENYLALANINE,0.5154623154623155,0.803612281757977,No
Nepsilon-Trimethyllysine,0.4972804972804973,0.803612281757977,No
Suberic acid,0.4694638694638695,0.803612281757977,No
Thiolactic acid,0.5171717171717172,0.803612281757977,No
Threonic acid,0.5185703185703185,0.803612281757977,No
TRIGONELLINE,0.48717948717948717,0.803612281757977,No
Xylitol,0.5137529137529138,0.803612281757977,No
"2,5-DIHYDROXYBENZOATE",0.5299145299145299,0.8051948051948052,No
"2,6-DIHYDROXYPYRIDINE",0.5233877233877234,0.8051948051948052,No
2-Ethyl-2-hydroxybutyric acid,0.5274281274281274,0.8051948051948052,No
"1,6-Anhydro-beta-D-glucose",0.5375291375291376,0.8114956011730206,No
2-Hydroxy-2-methylbutyric acid,0.5707847707847707,0.8244668911335578,No
"5,7-dihydroxy-3-(4-hydroxy-phenyl)-chromen-4-one",0.5644133644133644,0.8244668911335578,No
INDOLE-3-ACETATE,0.5706293706293706,0.8244668911335578,No
Malic acid,0.5614607614607615,0.8244668911335578,No
METHYLMALONATE,0.5622377622377622,0.8244668911335578,No
N-ACETYLASPARAGINE,0.5665889665889666,0.8244668911335578,No
N-ACETYLLEUCINE,0.57000777000777,0.8244668911335578,No
2-(Hydroxymethyl)butanoic acid,0.5853923853923854,0.8352549889135256,No
2'-O-Methyluridine,0.5847707847707848,0.8352549889135256,No
DIHYDROURACIL,0.597979797979798,0.8480440771349861,No
HYPOXANTHINE,0.6087024087024087,0.8533478497550353,No
N-Acetyl-L-aspartic acid,0.609013209013209,0.8533478497550353,No
2-HYDROXY-4-(METHYLTHIO)BUTANOATE,0.6309246309246309,0.8731550802139038,No
3-(1H-indol-3-yl)-propionic acid,0.6276612276612277,0.8731550802139038,No
THYMIDINE,0.6343434343434343,0.8731550802139038,No
Propyl 4-hydroxybenzoate,0.643045843045843,0.8748414376321352,No
Uric acid,0.6407148407148407,0.8748414376321352,No
2-Aminoadipic acid,0.6551670551670552,0.8861797162375197,No
3-(3-Hydroxyphenyl)propionic acid,0.6719502719502719,0.8973140495867769,No
CYTOSINE,0.6672882672882673,0.8973140495867769,No
PYROCATECHOL,0.6749028749028749,0.8973140495867769,No
1-Kestose,0.6972804972804972,0.9064646464646463,No
Alpha-Hydroxyglutaric acid,0.696969696969697,0.9064646464646463,No
HIPPURATE,0.692929292929293,0.9064646464646463,No
HYDROXYPHENYLLACTATE,0.6947940947940948,0.9064646464646463,No
3-Hydroxybutyric acid,0.7580419580419581,0.9190767781441357,No
3-METHOXYTYROSINE,0.7283605283605283,0.9190767781441357,No
3-Methylglutaconic acid,0.7367521367521368,0.9190767781441357,No
4-PYRIDOXATE,0.7151515151515152,0.9190767781441357,No
ALPHA-HYDROXYISOBUTYRATE,0.7480963480963481,0.9190767781441357,No
BETA-ALANINE,0.7313131313131314,0.9190767781441357,No
Glucose,0.7177933177933178,0.9190767781441357,No
GLUCURONATE,0.7544677544677545,0.9190767781441357,No
KETOLEUCINE,0.735975135975136,0.9190767781441357,No
KYNURENATE,0.7566433566433567,0.9190767781441357,No
N-(2-Methylbutyryl)glycine,0.7337995337995338,0.9190767781441357,No
Nepsilon-Acetyl-L-lysine,0.7555555555555555,0.9190767781441357,No
QUINOLINATE,0.7384615384615385,0.9190767781441357,No
N-ACETYLGLYCINE,0.7625485625485625,0.9197750702905341,No
"3,5-Dimethoxyphenol",0.7678321678321678,0.9213986013986013,No
Homoarginine,0.7844599844599844,0.9365491651205936,No
2-C-methyl-D-erythritol 4-phosphate,0.8121212121212121,0.9454545454545455,No
3-HYDROXYBENZALDEHYDE,0.8099456099456099,0.9454545454545455,No
METHYL GALACTOSIDE,0.7975135975135975,0.9454545454545455,No
trans-3-Hydroxycinnamic acid,0.8107226107226108,0.9454545454545455,No
XANTHINE,0.8114996114996115,0.9454545454545455,No
2-Hydroxy-2-(4-hydroxyphenyl)acetic acid,0.8216006216006216,0.9517551755175517,No
2-Hydroxy-3-methylbutyric acid,0.8281274281274281,0.954590237348858,No
"1-Phenyl-1,2-propanedione",0.8346542346542346,0.9573975044563279,No
Tricarballylic acid,0.8523698523698524,0.972949002217295,No
Malonic acid,0.8568764568764569,0.9733451015004413,No
Arabinose,0.8680652680652681,0.9757575757575757,No
CYTIDINE,0.8733488733488733,0.9757575757575757,No
D-Erythrose,0.8756798756798757,0.9757575757575757,No
GALACTURONATE,0.8699300699300699,0.9757575757575757,No
Beta-hydroxyisobutyrate,0.8823620823620824,0.9771869639794167,No
Ferulic acid,0.8853146853146853,0.9771869639794167,No
"2,6-Dihydroxybenzoic acid",0.9213675213675213,0.9824763471822295,No
2-Hydroxy-3-(4-hydroxyphenyl)-2-propenoic acid,0.9236985236985237,0.9824763471822295,No
2-Hydroxyethanesulphonic acid,0.9145299145299145,0.9824763471822295,No
4-HYDROXYBENZALDEHYDE,0.9042735042735043,0.9824763471822295,No
Acetylpyrazine,0.9114219114219114,0.9824763471822295,No
CIS-4-HYDROXY-D-PROLINE,0.8968142968142968,0.9824763471822295,No
D-Chiro-Inositol,0.9278943278943279,0.9824763471822295,No
Ribose,0.9106449106449106,0.9824763471822295,No
URIDINE,0.9277389277389277,0.9824763471822295,No
10-HYDROXYDECANOATE,0.9852369852369852,0.993006993006993,No
2-Deoxy-D-ribose,0.993006993006993,0.993006993006993,No
2-HYDROXYBUTYRATE,0.9905205905205905,0.993006993006993,No
3-Phenyllactic acid,0.9651903651903652,0.993006993006993,No
5-Methylcytidine,0.9645687645687646,0.993006993006993,No
Alpha-Ketoglutaric acid,0.9641025641025641,0.993006993006993,No
Argininosuccinic acid,0.9476301476301476,0.993006993006993,No
Galactonate,0.9917637917637918,0.993006993006993,No
HEXANOATE,0.956021756021756,0.993006993006993,No
INOSINE,0.9715617715617716,0.993006993006993,No
N-Acetyl-Asp-Glu,0.9866355866355866,0.993006993006993,No
N-ACETYLNEURAMINATE,0.9793317793317793,0.993006993006993,No
SALICYLATE,0.9791763791763792,0.993006993006993,No
