Feature,Original P-value,Corrected P-value,Significant
"2,3-DIHYDROXYBENZOATE",0.0003108003108003108,0.1316655711380844,No
ADENINE,0.0004662004662004662,0.1316655711380844,No
ADENOSINE,0.0004662004662004662,0.1316655711380844,No
Leu-Ala,0.0001554001554001554,0.1316655711380844,No
Pseudouridine,0.0004662004662004662,0.1316655711380844,No
2-OXOADIPATE,0.0006216006216006216,0.14629507904231598,No
ASPARTATE,0.000777000777000777,0.15674472754533855,No
GLUTAMATE,0.0012432012432012432,0.21944261856347397,No
Choline glycerophosphate,0.00202020202020202,0.219442618563474,No
HEXANOATE,0.001554001554001554,0.219442618563474,No
L-Methionine sulfoxide,0.0018648018648018648,0.219442618563474,No
TRANS-ACONITATE,0.001554001554001554,0.219442618563474,No
TREHALOSE,0.00202020202020202,0.219442618563474,No
"3,5-Dimethoxyphenol",0.003108003108003108,0.3017336005247767,No
ALLANTOIN,0.0032634032634032634,0.3017336005247767,No
CYSTATHIONINE,0.003418803418803419,0.3017336005247767,No
Leu-Gly,0.0037296037296037296,0.3047814146714916,No
TAURINE,0.003885003885003885,0.3047814146714916,No
3-Methyl-L-histidine,0.004662004662004662,0.329163927845211,No
QUINATE,0.004506604506604507,0.329163927845211,No
Dehydroascorbic acid,0.005128205128205128,0.34483840059974485,No
DIACETYL,0.006216006216006216,0.39898657920631636,No
CREATINE,0.00808080808080808,0.47545900688752696,No
Pyrogallol,0.00808080808080808,0.47545900688752696,No
4-Hydroxyphenylacetic acid,0.008702408702408702,0.49155146558218177,No
"Saccharic acid 1,4-lactone",0.00916860916860917,0.49796594212480644,No
HYPOXANTHINE,0.009945609945609946,0.5201602810393458,No
Leucine,0.010722610722610723,0.540769310031418,No
2-Methyl-4-pentenoic acid,0.011965811965811967,0.5632360543129167,No
Gamma-L-Glutamyl-L-alanine,0.01181041181041181,0.5632360543129167,No
SERINE,0.012587412587412588,0.573382325923916,No
2-Isopropylmalic acid,0.015073815073815075,0.6325110770358956,No
GLYCEROL,0.01522921522921523,0.6325110770358956,No
TRIGONELLINE,0.014452214452214453,0.6325110770358956,No
PYROGLUTAMATE,0.015850815850815853,0.6395184883849814,No
3-Methylglutaconic acid,0.016317016317016316,0.6400409708101323,No
N-Acetyl-L-proline,0.016783216783216783,0.6405352109420321,No
Alpha-Ketoglutaric acid,0.01818181818181818,0.6638139211545088,No
D-MANNOSAMINE,0.018803418803418803,0.6638139211545088,No
Sorbose,0.01833721833721834,0.6638139211545088,No
Ac-Val-OH,0.020668220668220667,0.7118504455839523,No
Alpha-Hydroxyglutaric acid,0.02501942501942502,0.7497622800918695,No
Fructose,0.023931623931623933,0.7497622800918695,No
Myo-Inositol,0.023465423465423466,0.7497622800918695,No
Saccharopine,0.022843822843822845,0.7497622800918695,No
TYROSINE,0.02501942501942502,0.7497622800918695,No
Uric acid,0.025485625485625486,0.7497622800918695,No
Xylose,0.022999222999223,0.7497622800918695,No
GLYCINE,0.02843822843822844,0.8031599839423149,No
RHAMNOSE,0.027972027972027972,0.8031599839423149,No
DIHYDROURACIL,0.031235431235431235,0.8648620849266329,No
BETAINE,0.034032634032634033,0.8899617308407556,No
DEOXYCYTIDINE,0.033566433566433566,0.8899617308407556,No
INDOLE-3-ACETATE,0.034032634032634033,0.8899617308407556,No
Gluconate,0.03512043512043512,0.9017096690062748,No
GLYCERATE,0.03698523698523699,0.9326311288947644,No
Gamma-Glu-epsilon-Lys,0.039160839160839164,0.970167366280622,No
"1,5-Anhydro-D-sorbitol",0.9998445998445998,1.0,No
"1,6-Anhydro-beta-D-glucose",0.8974358974358975,1.0,No
10-HYDROXYDECANOATE,0.7644133644133644,1.0,No
1-Kestose,0.8323232323232324,1.0,No
"1-Phenyl-1,2-propanedione",0.4506604506604507,1.0,No
2-(Hydroxymethyl)butanoic acid,0.777933177933178,1.0,No
"2,3-Dihydroxyisovalerate",0.2247086247086247,1.0,No
"2,4-Dihydroxybutyric acid",0.3373737373737374,1.0,No
"2,5-DIHYDROXYBENZOATE",0.24646464646464647,1.0,No
"2,6-Dihydroxybenzoic acid",0.39642579642579645,1.0,No
"2,6-DIHYDROXYPYRIDINE",0.8234654234654235,1.0,No
2-Aminoadipic acid,0.39036519036519035,1.0,No
2-C-methyl-D-erythritol 4-phosphate,0.5137529137529138,1.0,No
2-Deoxy-D-ribose,0.34794094794094793,1.0,No
2-Ethyl-2-hydroxybutyric acid,0.16954156954156954,1.0,No
2-Hydroxy-2-(4-hydroxyphenyl)acetic acid,0.07428127428127428,1.0,No
2-Hydroxy-2-methylbutyric acid,0.4491064491064491,1.0,No
2-Hydroxy-3-(4-hydroxyphenyl)-2-propenoic acid,0.998912198912199,1.0,No
2-Hydroxy-3-methylbutyric acid,0.7167055167055167,1.0,No
2-HYDROXY-4-(METHYLTHIO)BUTANOATE,0.19456099456099457,1.0,No
2-HYDROXYBUTYRATE,0.790986790986791,1.0,No
2-Hydroxyethanesulphonic acid,0.15742035742035743,1.0,No
2-Hydroxyoctanoic acid,0.05314685314685315,1.0,No
2-Methoxybenzoic acid,0.27241647241647243,1.0,No
2'-O-Methyluridine,0.5146853146853146,1.0,No
3-(1H-indol-3-yl)-propionic acid,0.2853146853146853,1.0,No
