Feature,Original P-value,Corrected P-value,Significant
2'-O-Methyluridine,0.0,0.0,Yes
Ac-Val-OH,0.0,0.0,Yes
GLUCURONATE,0.0,0.0,Yes
RAFFINOSE,0.0,0.0,Yes
"Saccharic acid 1,4-lactone",0.0,0.0,Yes
ASPARAGINE,0.004291845493562232,0.13979153893316984,No
Myo-Inositol,0.004291845493562232,0.13979153893316984,No
ADENINE,0.008583690987124463,0.21745350500715308,No
TRANS-ACONITATE,0.008583690987124463,0.21745350500715308,No
D-Erythrose,0.012875536480686695,0.2668747561451424,No
TRANS-4-HYDROXY-L-PROLINE,0.012875536480686695,0.2668747561451424,No
KYNURENATE,0.017167381974248927,0.3261802575107296,No
GLUTAMINE,0.02145922746781116,0.3494788473329246,No
Propyl 4-hydroxybenzoate,0.02145922746781116,0.3494788473329246,No
PYROCATECHOL,0.030042918454935622,0.44034334763948507,No
CARNOSINE,0.034334763948497854,0.44034334763948507,No
GLYCERATE,0.034334763948497854,0.44034334763948507,No
3-Methylglutaconic acid,0.03862660944206009,0.44034334763948507,No
Levulinic acid,0.03862660944206009,0.44034334763948507,No
Ureidosuccinic acid,0.03862660944206009,0.44034334763948507,No
Acetylpyrazine,0.05150214592274678,0.5591661557326794,No
4-Hydroxycyclohexanecarboxylic acid,0.060085836909871244,0.6227077643386656,No
"3,5-Dihydroxybenzoic acid",0.08583690987124463,0.8509050195932076,No
HIPPURATE,0.09012875536480687,0.8562231759656652,No
2-(Hydroxymethyl)butanoic acid,0.10300429184549356,0.9393991416309012,No
URACIL,0.1072961373390558,0.9409045889732586,No
Pyruvic acid,0.11587982832618025,0.9785407725321889,No
GALACTURONATE,0.12446351931330472,0.9785407725321889,No
SALICYLATE,0.15021459227467812,0.9785407725321889,No
Beta-hydroxyisobutyrate,0.16738197424892703,0.9785407725321889,No
Alanine,0.17167381974248927,0.9785407725321889,No
Dehydroacetic acid,0.1759656652360515,0.9785407725321889,No
CREATININE,0.18025751072961374,0.9785407725321889,No
GLUTARATE,0.20600858369098712,0.9785407725321889,No
N-Acetyl-L-glutamine,0.21030042918454936,0.9785407725321889,No
Sinapic acid,0.22317596566523606,0.9785407725321889,No
3-Methyl-2-oxobutyrate,0.23605150214592274,0.9785407725321889,No
Gamma-Glu-epsilon-Lys,0.23605150214592274,0.9785407725321889,No
SACCHARATE,0.23605150214592274,0.9785407725321889,No
CITRULLINE,0.24034334763948498,0.9785407725321889,No
2-Hydroxyethanesulphonic acid,0.2532188841201717,0.9785407725321889,No
Pyrogallol,0.2532188841201717,0.9785407725321889,No
2-Hydroxyoctanoic acid,0.2575107296137339,0.9785407725321889,No
cis-Aconitic acid,0.2703862660944206,0.9785407725321889,No
GLYCEROL,0.2703862660944206,0.9785407725321889,No
Tartrate,0.2875536480686695,0.9785407725321889,No
5-HYDROXYLYSINE,0.31759656652360513,0.9785407725321889,No
GUANOSINE,0.3605150214592275,0.9785407725321889,No
Tricarballylic acid,0.3648068669527897,0.9785407725321889,No
ORNITHINE,0.38197424892703863,0.9785407725321889,No
ALPHA-HYDROXYISOBUTYRATE,0.38626609442060084,0.9785407725321889,No
Suberic acid,0.3948497854077253,0.9785407725321889,No
Gly-Gly,0.40772532188841204,0.9785407725321889,No
Dehydroascorbic acid,0.41201716738197425,0.9785407725321889,No
Diethyl malonate,0.41630901287553645,0.9785407725321889,No
mono-Methyl glutarate,0.4248927038626609,0.9785407725321889,No
Xylitol,0.43776824034334766,0.9785407725321889,No
Ferulic acid,0.44206008583690987,0.9785407725321889,No
Mannitol,0.463519313304721,0.9785407725321889,No
Trans-3-Indoleacrylic acid,0.5021459227467812,0.9785407725321889,No
N-Acetyl-L-methionine,0.5107296137339056,0.9785407725321889,No
2-Methoxybenzoic acid,0.5236051502145923,0.9785407725321889,No
N-ACETYLPHENYLALANINE,0.5236051502145923,0.9785407725321889,No
TRYPTOPHAN,0.5236051502145923,0.9785407725321889,No
Leu-Ala,0.5278969957081545,0.9785407725321889,No
N-Acetyl-L-tryptophan,0.6051502145922747,0.9785407725321889,No
Homoarginine,0.6137339055793991,0.9785407725321889,No
Gulonic acid gamma-lactone,0.6695278969957081,0.9785407725321889,No
Gluconate,0.7081545064377682,0.9785407725321889,No
Pro-Gly,0.7553648068669528,0.9785407725321889,No
TAURINE,0.776824034334764,0.9785407725321889,No
ALLOTHREONINE,0.7811158798283262,0.9785407725321889,No
Nepsilon-Trimethyllysine,0.8111587982832618,0.9785407725321889,No
Dihydroxyacetone,0.8454935622317596,0.9785407725321889,No
