Feature,Original P-value,Corrected P-value,Significant
2'-O-Methyluridine,0.0,0.0,Yes
Ac-Val-OH,0.0,0.0,Yes
GLUCURONATE,0.0,0.0,Yes
RAFFINOSE,0.0,0.0,Yes
"Saccharic acid 1,4-lactone",0.0,0.0,Yes
Xylose,0.0,0.0,Yes
ASPARAGINE,0.00015542430836182778,0.03450419645632577,Yes
Myo-Inositol,0.00015542430836182778,0.03450419645632577,Yes
ADENINE,0.00031084861672365556,0.06745414982903325,Yes
TRANS-ACONITATE,0.00031084861672365556,0.06745414982903325,Yes
D-Erythrose,0.00046627292508548337,0.09745104134286602,Yes
TRANS-4-HYDROXY-L-PROLINE,0.00046627292508548337,0.09745104134286602,Yes
KYNURENATE,0.0006216972334473111,0.1230960522225676,No
GLUTAMINE,0.000777121541809139,0.1492073360273547,No
Propyl 4-hydroxybenzoate,0.000777121541809139,0.1492073360273547,No
PYROCATECHOL,0.0010879701585327945,0.20127447932856699,No
CARNOSINE,0.0012433944668946222,0.22629779297482125,No
GLYCERATE,0.0012433944668946222,0.22629779297482125,No
3-Methylglutaconic acid,0.0013988187752564502,0.2503885607709046,No
Levulinic acid,0.0013988187752564502,0.2503885607709046,No
Ureidosuccinic acid,0.0013988187752564502,0.2503885607709046,No
Acetylpyrazine,0.0018650917003419335,0.3170655890581287,No
4-Hydroxycyclohexanecarboxylic acid,0.002175940317065589,0.3612060926328878,No
"3,5-Dihydroxybenzoic acid",0.003108486167236556,0.47559838358719303,No
HIPPURATE,0.0032639104755983837,0.49285048181535596,No
2-(Hydroxymethyl)butanoic acid,0.003730183400683867,0.5483369599005284,No
URACIL,0.0038856077090456947,0.5672987255206714,No
Pyruvic acid,0.00419645632576935,0.6010924108530574,No
GALACTURONATE,0.004507304942493006,0.628009851510007,No
SALICYLATE,0.005439850792663973,0.6965426726073292,No
Beta-hydroxyisobutyrate,0.006061548026111284,0.7323410557881841,No
Alanine,0.006216972334473112,0.738949331675474,No
Dehydroacetic acid,0.00637239664283494,0.7440367625303826,No
CREATININE,0.006527820951196767,0.7493754245386202,No
GLUTARATE,0.007460366801367734,0.7768106931924152,No
N-Acetyl-L-glutamine,0.007615791109729562,0.7828914031195575,No
Sinapic acid,0.008082064034815045,0.7961103377437796,No
3-Methyl-2-oxobutyrate,0.008548336959900529,0.810956218167906,No
Gamma-Glu-epsilon-Lys,0.008548336959900529,0.810956218167906,No
SACCHARATE,0.008548336959900529,0.810956218167906,No
CITRULLINE,0.008703761268262356,0.8149576468759714,No
2-Hydroxyethanesulphonic acid,0.00917003419334784,0.8277490993033934,No
Pyrogallol,0.00917003419334784,0.8277490993033934,No
2-Hydroxyoctanoic acid,0.009325458501709667,0.8322971712775878,No
cis-Aconitic acid,0.009791731426795151,0.8468988760368438,No
GLYCEROL,0.009791731426795151,0.8468988760368438,No
Tartrate,0.010413428660242462,0.8643145788001243,No
5-HYDROXYLYSINE,0.011501398818775257,0.892259869443581,No
GUANOSINE,0.013055641902393535,0.9194550178591329,No
Tricarballylic acid,0.013211066210755362,0.922865915176502,No
ORNITHINE,0.013832763444202673,0.9290982564218498,No
ALPHA-HYDROXYISOBUTYRATE,0.013988187752564501,0.9323875476346722,No
Suberic acid,0.014299036369288157,0.935800963044205,No
Gly-Gly,0.01476530929437364,0.9430293721467449,No
Dehydroascorbic acid,0.014920733602735468,0.9430293721467449,No
Diethyl malonate,0.015076157911097296,0.946860428971091,No
mono-Methyl glutarate,0.015387006527820952,0.950847855461737,No
Xylitol,0.015853279452906436,0.9550014247228266,No
Ferulic acid,0.016008703761268263,0.9593317416120476,No
Mannitol,0.0167858253030774,0.9685697509757192,No
Trans-3-Indoleacrylic acid,0.018184644078333853,0.9840764095504536,No
N-Acetyl-L-methionine,0.018495492695057507,0.9897495773216979,No
2-Methoxybenzoic acid,0.01896176562014299,0.9957064034815044,No
N-ACETYLPHENYLALANINE,0.01896176562014299,0.9957064034815044,No
TRYPTOPHAN,0.01896176562014299,0.9957064034815044,No
Leu-Ala,0.019117189928504818,0.9957064034815044,No
N-Acetyl-L-tryptophan,0.02191482747901772,0.9970469381411253,No
Homoarginine,0.022225676095741373,0.9970469381411253,No
Gulonic acid gamma-lactone,0.024246192104445136,0.9970469381411254,No
Gluconate,0.025645010879701585,0.9970469381411254,No
Pro-Gly,0.02735467827168169,0.9970469381411254,No
TAURINE,0.02813179981349083,0.9970469381411254,No
ALLOTHREONINE,0.028287224121852656,0.9970469381411254,No
Nepsilon-Trimethyllysine,0.02937519428038545,0.9970469381411254,No
