T1C1,T1C2,T1C3,T1C4,T1C5,T1C6,T1C7,T1C8,T1WB1,T1WB2,T1WB3,T1WB4,T1WB5,T1WB6,T1WB7,T1WB8,T2C1,T2C2,T2C3,T2C4,T2C5,T2C6,T2C7,T2C8,T2WB1,T2WB2,T2WB3,T2WB4,T2WB5,T2WB6,T2WB7,T2WB8,T3C1,T3C2,T3C3,T3C4,T3C5,T3C6,T3C7,T3C8,T3WB1,T3WB2,T3WB3,T3WB4,T3WB5,T3WB6,T3WB7,T3WB8,T4C1,T4C2,T4C3,T4C4,T4C5,T4C6,T4C7,T4C8,T4WB1,T4WB2,T4WB3,T4WB4,T4WB5,T4WB6,T4WB7,T4WB8
108336452.6,125111118.1,133874535.9,134963508.3,145734503.2,138244136.5,125340343.7,239050733.4,144166113.4,145737548.2,154934983.8,108126657.3,117850840.3,168546355.5,143472706.8,253792436.8,83056246.67,94042872.88,134384039.5,114600468.8,118784788.8,120267824.5,126426075,97811461.38,68216520.81,90712359.8,103079273.8,79263750.59,77373844.55,85388975.37,106000596,119445272.2,90359813.28,122071022.4,101371708.1,123952328.1,81148466.34,118227792.2,98401035.77,114990695.3,83000216.75,100835807.6,89703588.28,80677922.6,83064830.2,111082543.2,112787627.8,106120177.3,82761538.74,65705647.78,86497637.73,92831505.43,68474936.79,92013211.73,68610465.71,90039495.28,72499163.95,100816599.9,95464620.25,74107626.97,44301443.88,68515299.18,70863914.83,91518496.15
150160019.7,178444641.3,155707377.3,72232310.37,171333885.1,68888803.18,164931462,91429761.94,179620747.3,79828260.3,81682857.36,144521909.2,193457525.9,143764462.6,88274185.3,86224571.82,142639040.5,148711767.2,169060554.4,179280063.6,60617244.37,68375699.22,75943488.12,55759316.08,111699346.7,145647661.8,61152759.55,159518830.8,110696573.2,104661148.6,62251463.51,155864032.5,140292739.5,154202301.8,160749653.3,168735915.2,176961729.2,197332586.5,165528197.1,165312094.3,119280365.3,151507613.2,169392594.4,155420994.9,157215004.4,155291066.5,160767489.7,162702278.9,149808454.9,185243145.8,161412691.1,167654590.8,148801151,171608924.4,165081335.3,192883543.9,168511525.5,189804530.5,161051411.2,181720278.4,151584586.9,149480621.5,128262523.1,159122469.4
6292403.651,6447889.713,8698928.746,6854429.178,10430844.45,6885211.19,8113573.81,9857483.895,8833511.56,5033886.687,8373805.967,9832634.686,7439146.976,8013791.388,6272387.944,12624114.47,6337811.856,9512317.448,5469349.306,6214312.992,10002465.86,8723315.536,8888084.25,5036164.78,7034911.543,9376589.971,6873965.584,5007540.895,4827920.349,4455367.175,7516778.965,7147389.485,7468910.57,12870448.17,7116931.52,7038503.625,8487518.458,8806543.309,8814538.915,7721674.307,9559044.273,7886881.195,8239213.483,7135256.008,9629557.082,8019320.819,7358796.231,7403028.177,9334184.243,11344455.09,8049602.706,10065362.74,13060477.54,12766013.86,10026638.26,8285790.141,6273334.031,9178436.652,11571903.88,8317143.707,6875108.281,14585863.05,5260633.827,13325649.69
7992693.411,9065125.127,9535015.454,8453209.706,10940722.18,6988076.763,25436036.94,9429787.126,9922076.487,7074067.543,12117714.91,7031310.18,7227278.369,7713319.18,9997016.158,11915535.45,6031607.791,3260144.74,8109781.445,3452694.916,3145034.759,8503063.942,6723884.544,3870155.88,1707655.6,2718058.55,4077286.957,5347637.218,4142705.754,2552258.548,6767488.963,5979606.176,882752.0644,1730690.636,2501706.881,1708981.25,887922.7535,3565013.252,2029461.996,2383647.123,973155.3681,2741554.896,2272828.641,2584570.627,2445861.105,2347064.178,2005112.05,1634173.317,942821.1109,1110764.679,1340860.324,2956666.518,1036835.779,2077153.231,943805.4406,1035672.596,1451266.327,2243801.098,1382302.398,2249577.295,768957.0928,1218858.027,843431.7804,1231231.824
5585071.924,9806985.233,8037479.585,6872499.852,6735554.853,8180076.425,7737734.474,13602561.18,8406812.892,6668844.679,14217045.78,2298079.023,12334834.54,11750342.98,7959622.063,10109929.86,11614459.69,3300505.104,4008902.809,4014650.706,4986453.242,9403509.011,11584355.68,3402803.088,3312414.406,4211679.986,6979102.982,6434855.003,3139137.716,2847803.892,4568071.418,3358962.857,967798.7265,4249309.947,916677.0374,2454547.107,2379086.185,1307789.385,1741732.194,1998989.444,5521694.035,1567861.183,769082.4911,705215.6924,1370897.186,1892466.099,2584828.537,923824.4791,1676501.243,8732333.803,8236103.753,1103777.946,9489609.011,1235644.513,12504646.7,4273240.731,6982741.42,3034466.844,7046128.853,670304.5281,5429461.587,3123547.349,4648566.301,4076419.287
91712790.15,138256921.3,176492725.6,88504408.03,232515504.9,178434472.4,114462434.8,188017627.3,199634399.6,181793072.4,228676346.9,117874508,114120146.2,122870630.2,111201182.6,260241061.9,154205738.2,145740288.6,147758858.5,113880432.4,159290377,160756161.8,187358608.2,137870805.8,116590218.7,128658463.4,97238832.04,123888096.1,77568749.8,104878896.3,150261463.6,112234238,82686141.6,117446451,96306060.11,84329482.18,110542689.6,116667751.3,65704503.52,83981759.9,164870620.2,78745379.16,100000487.9,90732397.2,110463613.7,77880296.17,118909645.7,80373662.73,67834558.31,111156028.6,70392718.75,99731382.75,69004629.45,54535691.53,83475162.77,104905078.8,93256453.86,117399281.4,63050402.76,52423523.57,65933426.78,60058773.18,37063207.15,105618752.5
1471131.235,750353.3745,2363685.429,3514889.283,3182424.525,3366120.772,3528901.388,2897960.892,3403015.324,3377564.696,4086580.686,3190841.874,3185313.531,4098574.044,3760906.714,5877147.22,1880645.244,5066482.93,3934739.68,3603202.126,3894528.344,3265092.953,3858959.926,3530683.677,3199708.52,2888982.084,3490696.393,1810919.007,2192631.809,1330027.565,3688367.13,3404607.943,3054924.869,5010408.001,4597924.249,3522347.588,4454309.796,291828.8564,3823974.397,2939245.537,3937828.213,3919322.58,3121353.446,5313251.403,4223008.728,4628109.758,4651837.437,4501337.724,4571419.466,4575567.926,3249783.871,4187752.747,4935418.896,4020541.759,3864706.811,5944405.941,4158204.63,3205835.378,3440400.974,4260092.151,2817626.975,3141425.173,2659898.288,3968587.398
15432340.34,17926767.01,27236139,24878326.29,22553990.65,19400750.25,14787361.21,32223685.8,22443933.59,33322624.68,30447082.52,16239986.13,18538486.23,14657223.05,25123118.17,67548949.39,15030497.62,17057871.43,22508690.55,19050812.42,14625280.91,18156239.05,17236821.11,11474356.27,11449872.38,19773861.72,19516523.22,15365162.75,10470860.52,10370929.41,18417143.7,19078694.07,307204216.5,335522798.7,340914931.2,327964515.7,334703193.2,477757457.4,342009119.4,184382966,83101090.48,200376304.1,372212576.6,366645857.3,188823442.8,330883982.8,235270411.4,294853321.6,264450290.7,226105523.5,320809555.2,282985218.5,169051604.3,311717246.9,211799918,234351302,240255246.6,275546064.2,315175219.5,266328833.5,187548514.9,231206536.9,205566636.9,195273658.5
1071340809,1327339074,1214537333,902358743.9,1173008289,998826729.9,850785606,1492819425,1126701637,1364561918,1082209661,1031822126,762316707.4,812039257.8,981618461.1,1543079110,769976498.9,976853778.1,1040748344,723944190,874639347,806601907.4,732896676.3,461142835.6,536246302.7,1067244744,716399171.4,697747218.2,354559355.2,510999526.2,714792934.8,643834664.9,356880552.2,485205129.2,512980999.7,311141449.9,459673848.1,516446657.5,389530238.5,500961247.4,267894255.1,713602215.5,477607445.3,589935332.8,334973686.6,377144487.1,652211043.8,448744667.3,306300198.5,321536125,365506101.9,384774301.2,167427863.7,390618371.3,218935728.2,224863660.2,328642754.8,534531331.7,492946225,473371994.2,191188331.1,394394808.1,402684363,353444188.9
3259382.78,2190600.865,693004.5995,344089.6611,3441371.787,431201.168,2253469.664,1242845.248,461246.7903,618197.4181,577087.9704,354614.6486,574812.8501,2026604.628,4228641.6,7509854.595,4503498.268,813345.7012,2419036.964,370901.1005,1679430.914,4266286.944,6253283.92,340482.8333,2182946.928,1563164.37,858216.5408,3298371.131,1062493.352,2690344.825,6227469.698,5324468.456,317942.2734,4955615.968,371684.7372,421811.9835,3536752.56,1819490.739,480516.4293,4517970.977,6032663.452,3560544.89,2799539.467,2230885.39,3309108.745,1957692.261,4824322.91,3410574.058,380118.7465,2034380.673,2460437.649,353638.9829,1816748.739,1391379.555,1086123.552,495722.3351,2527556.394,1221839.366,2158411.722,1178896.528,2018793.394,1693695.841,809252.4927,2414879.975
284311483,359139654.7,360683394,371577846.1,272875627.7,373670765,269336478.1,645962306.2,355544490.9,395331254.9,245191174.1,355192417.3,263553843.8,208806990.3,199361532.1,650297973.3,355848448.2,295059444.8,409839217,394532493.9,568828731.7,555764077.8,492760015.8,492001198.4,314481415.7,387808056.1,429640682.5,326023136.1,465529658.4,392694468.7,502151287.8,401284574,80102383.23,214787660.9,45484176.5,48867061.28,58549595.74,135457925.8,53943805.86,315789029.2,51268242.76,347776233.9,48827889.36,98302916.03,342533429.7,41659189.09,322631518.9,217312313.5,78531093.18,87563378.8,76117523.88,49953910.41,38500880.36,165402004.4,41389403.43,50085356.91,69053532.57,35240581.33,122495070.9,41749465.34,127552045.8,37744222.88,101324892.1,106497046.6
8633371.413,5204240.144,7298692.192,4770723.036,4416456.843,3355258.523,11176517.76,4592835.897,4925141.916,3520759.093,5196656.201,8977250.818,2632589.071,2006427.163,8021300.977,4056874.293,2685718.653,5935370.335,1813003.357,3148707.609,4958088.057,3022670.434,3288545.17,5095805.52,5359409.31,1922377.985,4287444.619,1713554.508,5518920.047,5475047.121,4873159.685,3491573.184,4000625.92,3868801.479,5850168.984,3233467.364,3742343.144,4672443.358,7088765.89,7829549.267,2396775.238,2602851.119,4439372.812,4724222.237,5046874.565,6452819.19,8584886.021,4701373.612,3839103.623,5029301.094,8946303.666,4591520.173,2366778.944,5704511.823,5516497.886,2090769.062,1571639.753,2457098.712,8651506.346,5677563.25,4172773.166,5631609.649,8054669.396,3407131.371
56867871.34,84977137.42,82950451,67815266.32,93980417.72,88523385.59,90135167.49,144239843.8,112708895.5,94870910.43,104022889.5,49133520.2,86791882.3,112365379.1,80222139.01,158390383.5,68259665.45,71985364.69,81741982.12,59100933.48,93292404.89,110242819.3,123060838.9,60824003.6,44634134.08,71701387.82,80812276.67,76504418.36,52355477.17,66471301.69,82604956.33,90191004.8,66988858.47,96566454.51,59734184.04,47856330.47,76424074.86,91155470.48,68444102.94,65406604.43,87970195.67,66899797.67,57588097.93,58429264.55,53857791.85,79972675.56,80927226.77,63353294.2,56337516.27,62173760.47,58931490.17,45209018.77,75615471.55,66822583.24,65668011.27,96313306.68,65501107.55,54974808.36,49939633.54,44840378.38,37898109.14,61773793.38,46236788.42,64038826.25
7788315.251,6395090.713,7364855.254,6258766.982,6363221.075,6161539.161,3041828.537,7440478.866,6610639.432,7822998.684,8125205.366,6139239.341,6182089.856,6798195.235,6853753.508,11276296,5745097.982,5865074.709,8438411.924,5369755.36,6062921.397,8091078.833,7546886.729,4778220.564,5384937.149,6535100.596,5888915.319,5198353.63,4128622.951,4869384.63,4942536.325,7798420.424,4528810.175,5251678.34,3952375.08,3866763.357,4777261.51,5599903.41,5287568.961,5279708.08,3756842.924,7130871.573,3746337.946,4562250.35,4213337.182,5360814.188,6197825.526,5925209.907,5580255.651,5421567.487,5037330.263,3359412.392,5426635.879,6479263.428,5133969.645,5704498.171,4733764.588,5965803.751,4400076.723,5717689.223,2679977.01,3791377.546,4624128.045,5478222.325
